user_id,session_duration,transaction_amount,ip_address,device_type,location,number_of_failed_logins,label
user_0029,2940.681875145221,278.40743062694855,174.171.127.136,tablet,UK,1.0,0.0
user_0030,27.73208315041401,52.316041752276234,56.191.164.54,tablet,JP,3.0,1.0
user_0031,2887.2730938147038,,,mobile,DE,0.0,0.0
user_0032,2563.0003307890474,138.20867153234664,66.171.42.75,desktop,BR,0.0,0.0
user_0033,1938.5600481229958,164.71468659669114,144.104.201.229,tablet,JP,1.0,0.0
user_0034,1259.1162828086315,12.673823521829535,155.132.127.100,mobile,FR,,0.0
user_0035,1011.4561524665229,284.7133375346465,112.138.244.180,tablet,UK,2.0,0.0
,,396.3061927414267,116.71.233.19,desktop,UK,0.0,0.0
,1818.116191939862,258.8869253004173,89.153.107.17,desktop,UK,1.0,0.0
user_0038,1290.2361609860875,117.09546839650058,160.104.251.227,desktop,US,2.0,0.0
user_0039,11.77649200405997,1629.4512602450557,156.101.24.47,mobile,IN,3.0,1.0
user_0040,721.3883937916252,95.08184001580462,124.235.183.170,mobile,UK,0.0,
user_0041,23.59282005966981,1014.6308219034368,87.51.249.204,tablet,CA,9.0,1.0
user_0042,,361.1233835121056,30.129.103.191,desktop,US,2.0,
user_0043,1379.6439183060377,456.08277270701177,57.254.37.233,desktop,US,0.0,0.0
user_0044,1199.2469377471252,419.9559323309213,150.56.163.179,mobile,,1.0,0.0
user_0045,2380.9226774346107,231.7419255670457,195.63.247.4,desktop,UK,0.0,0.0
user_0046,23.579004094738302,4125.993722066489,98.245.10.6,mobile,BR,3.0,1.0
user_0047,687.6659464896009,379.7728690592121,146.123.238.160,desktop,UK,0.0,
user_0048,6137.547893389978,3443.707190423792,,tablet,UK,,1.0
user_0049,3476.525346440314,348.0864495092587,207.123.0.138,desktop,UK,2.0,0.0
user_0050,3812.5949796749,3010.6874233255944,162.38.88.196,tablet,DE,8.0,1.0
user_0051,3547.42584944539,101.8189576640122,148.174.14.101,,FR,1.0,0.0
user_0052,3570.654720573948,82.47613774213386,183.97.14.45,mobile,BR,2.0,0.0
user_0053,4254.047169187743,14.402228915608228,75.16.103.155,mobile,IN,6.0,1.0
user_0054,1538.8642441206462,148.88760216094298,205.102.69.113,desktop,DE,1.0,0.0
user_0055,753.8691895720218,196.14867590342968,151.124.179.74,desktop,UK,0.0,0.0
user_0056,2804.2578206551866,360.2655698775025,127.220.198.3,desktop,UK,2.0,0.0
user_0057,2631.9088883063732,78.18495269385512,255.228.214.57,,US,0.0,0.0
user_0058,6570.816277531998,97.4440297196431,139.128.161.20,,CA,3.0,1.0
user_0059,3104.5934031222237,409.5290323224212,,mobile,UK,,0.0
user_0060,1549.9932052365061,113.3166364922334,156.232.245.8,desktop,FR,0.0,0.0
user_0061,27.6518985915143,,173.69.90.147,tablet,FR,5.0,1.0
user_0062,1292.692126152518,113.43327447876266,137.85.74.9,mobile,UK,0.0,0.0
user_0063,1601.4569369359476,359.56982903157063,142.67.213.169,desktop,DE,1.0,0.0
user_0064,3156.78655971996,338.2143557761442,236.221.240.114,desktop,US,2.0,0.0
user_0065,4356.457364655644,4457.414955169334,203.181.123.49,desktop,RU,6.0,1.0
,316.88330938982784,429.7247363837876,178.181.118.241,desktop,UK,0.0,0.0
user_0067,27.038912519117176,3522.360191072585,193.128.234.126,desktop,RU,6.0,1.0
user_0068,2637.908196629309,449.7117860450115,127.85.204.245,desktop,AU,1.0,0.0
user_0069,6310.618262827858,29.44870808595286,186.191.58.144,mobile,UK,4.0,1.0
user_0070,261.45743671861754,445.8953236415861,19.153.50.206,mobile,CA,0.0,0.0
user_0071,19.981412462395607,3445.3381044897055,180.12.174.138,tablet,JP,10.0,1.0
user_0072,237.7436974575333,198.31197983387153,163.90.114.130,mobile,AU,2.0,0.0
user_0073,1575.5452210053272,353.3462661459206,186.247.131.177,desktop,IN,2.0,0.0
user_0074,1327.3062584994457,115.84934287349603,119.127.123.30,,CA,1.0,0.0
user_0075,3405.6679638927903,424.3747974650301,120.70.248.199,mobile,UK,1.0,0.0
user_0076,210.8964416969186,18.68320752883112,157.158.157.203,mobile,US,0.0,0.0
user_0077,5176.028028972474,4086.551221722989,,mobile,RU,8.0,1.0
user_0078,814.5159571899417,20.25367922747895,118.58.166.166,desktop,DE,2.0,
user_0079,1311.8933134222736,286.29668359228475,57.173.17.116,tablet,DE,2.0,0.0
user_0080,4005.6320534071665,3332.7169971572434,136.44.61.44,tablet,BR,3.0,1.0
user_0081,517.585484163475,78.43242600787191,,,DE,1.0,0.0
user_0082,1395.143785022927,212.22126987852022,152.138.47.225,tablet,RU,0.0,0.0
user_0083,3515.428374928411,311.70601560350997,106.85.73.1,mobile,AU,1.0,0.0
user_0084,2420.4792145360143,,46.202.158.233,desktop,US,0.0,0.0
user_0085,,332.73473718237994,209.81.233.12,mobile,US,1.0,0.0
user_0086,1451.5110229434079,446.06827248932257,23.242.123.201,mobile,US,1.0,0.0
user_0087,3983.028875488166,3321.3478579755792,38.68.75.251,,BR,8.0,1.0
user_0088,2475.83447420243,422.94121494271053,55.227.79.47,desktop,UK,0.0,0.0
user_0089,1231.0022644120208,62.123784621689126,76.255.84.186,mobile,IN,1.0,0.0
user_0090,2963.7040872432085,301.3779227314944,66.242.190.43,mobile,AU,0.0,0.0
user_0091,4827.266926461962,3845.745854157085,31.166.240.118,mobile,CA,10.0,1.0
user_0092,7175.498954645334,4558.799683267163,182.216.251.25,tablet,UK,7.0,1.0
user_0093,3838.422015346457,3980.94737529968,205.55.104.199,desktop,BR,10.0,1.0
user_0094,1512.2068613125805,294.88478381778634,196.205.150.252,mobile,JP,0.0,0.0
user_0095,5338.667685782024,3073.0534294823146,,desktop,FR,8.0,1.0
user_0096,3375.342317548155,189.0777898696408,163.88.236.135,desktop,UK,1.0,0.0
user_0097,2441.430715347181,420.28119036346453,225.106.124.126,desktop,US,2.0,0.0
user_0098,,1511.1509172896676,177.110.125.83,mobile,RU,6.0,1.0
user_0099,2427.6265909932804,60.8893958140001,7.47.222.73,desktop,UK,1.0,0.0
,2487.914723935217,223.63203187329503,30.252.82.213,mobile,CA,1.0,0.0
user_0101,3567.7123991781077,49.17839234364998,32.250.211.104,tablet,FR,1.0,0.0
user_0102,2195.8334212737864,393.6036264497007,26.24.250.215,mobile,FR,0.0,0.0
user_0103,731.325232766972,94.80006633351856,82.120.219.175,desktop,DE,0.0,0.0
user_0104,1956.5921990563393,318.7178011421265,229.149.72.177,tablet,UK,0.0,0.0
user_0105,7092.718837102496,23.120565458886233,,desktop,IN,5.0,1.0
user_0106,1358.5308682487548,25.15461656869992,102.229.146.227,desktop,CA,2.0,0.0
user_0107,1918.4719579967716,87.10477627366274,21.61.21.113,desktop,CA,2.0,0.0
user_0108,11.240785596264372,3061.0957280894118,185.106.218.105,tablet,UK,6.0,1.0
user_0109,1.4556106553665442,1094.0060581274874,,,BR,8.0,1.0
user_0110,5385.794029678561,,,desktop,FR,8.0,1.0
user_0111,1024.5837716073636,224.9348245528299,181.196.104.59,desktop,CA,,0.0
,2882.8655459436022,448.50172118195616,230.227.245.144,tablet,AU,2.0,0.0
user_0113,1448.8922889100163,357.3118882258279,42.237.246.6,mobile,US,2.0,0.0
user_0114,305.4390815779003,217.5085762687951,127.99.249.32,desktop,FR,1.0,0.0
user_0115,,62.773280492526496,65.219.80.249,desktop,DE,9.0,1.0
user_0116,3691.5394909873867,61.23959252396003,107.183.69.53,mobile,,8.0,1.0
user_0117,415.8774038129072,454.3677831023895,199.253.69.196,mobile,CA,2.0,0.0
user_0118,3581.9643189577173,446.5495165028951,148.120.90.61,desktop,BR,2.0,0.0
user_0119,785.7686084961193,84.32826286246731,252.201.134.35,desktop,UK,,0.0
user_0120,1146.2878129670733,105.06541253034877,254.233.17.58,mobile,US,0.0,0.0
user_0121,195.77695263738667,465.3369554703218,32.168.78.84,desktop,CA,1.0,0.0
user_0122,2024.006267085446,124.76553680123942,,desktop,FR,2.0,0.0
user_0123,1659.5346968207393,269.4795120699993,64.94.243.105,desktop,CA,2.0,0.0
,63.275509487121965,398.7484096489864,200.186.168.41,desktop,UK,1.0,0.0
user_0125,1341.4370501154463,282.507381233579,156.207.60.57,desktop,UK,2.0,0.0
user_0126,2.253700261020178,,127.64.253.177,mobile,IN,9.0,1.0
user_0127,2736.324695645463,277.12246916451716,217.162.249.21,,BR,2.0,0.0
user_0128,1048.2076373703248,287.65448117909995,55.79.42.121,desktop,CA,2.0,0.0
user_0129,1620.780672115786,,,mobile,AU,1.0,0.0
user_0130,12.19051529293436,2793.5553717948114,36.54.52.203,tablet,RU,6.0,1.0
user_0131,10.000331165257238,2796.466854635637,158.200.43.131,mobile,DE,9.0,1.0
user_0132,2205.930270647878,302.42572896377436,216.84.104.66,desktop,AU,2.0,0.0
user_0133,3135.8946296071686,277.7070377148146,87.225.86.157,mobile,US,1.0,0.0
user_0134,201.2477508947864,379.5426442075551,22.207.109.60,,US,2.0,0.0
user_0135,2444.218103185624,105.16588181185647,195.208.193.175,mobile,DE,2.0,0.0
user_0136,1114.9581511596095,115.55480337150965,144.200.6.14,mobile,UK,2.0,0.0
user_0137,2373.7138261943564,181.2081348132297,69.201.236.75,desktop,US,1.0,
user_0138,3442.3335004402375,289.7663847184928,92.68.197.199,mobile,UK,1.0,0.0
user_0139,7059.459194655205,4038.8679633406273,219.178.84.104,mobile,BR,9.0,1.0
,350.446324046248,29.564973004903912,80.52.221.55,desktop,US,1.0,0.0
user_0141,,175.1636635377429,32.11.99.128,mobile,JP,2.0,0.0
user_0142,2274.0720833944733,352.19222202653435,174.39.255.154,desktop,US,0.0,0.0
user_0143,1235.7290630007926,434.72123706866273,56.155.84.47,desktop,UK,0.0,0.0
user_0144,1484.8660780447929,339.2451774045728,186.201.165.195,desktop,FR,2.0,0.0
,3352.3619788918763,204.10347626808914,12.195.183.200,mobile,US,1.0,0.0
user_0146,479.33973134721884,173.31263670242643,66.102.69.243,,UK,2.0,0.0
user_0147,6919.420528843023,3677.0142659930602,83.131.88.60,tablet,CA,8.0,1.0
,2348.013042604889,334.995533911245,72.39.246.14,desktop,AU,0.0,0.0
user_0149,1507.265910991614,239.34026436236968,49.67.162.70,mobile,US,0.0,0.0
user_0150,77.77733502491384,487.38709370242884,53.85.110.33,mobile,FR,1.0,0.0
user_0151,2544.0023182569007,171.97894281293162,203.106.6.98,desktop,US,2.0,0.0
user_0152,2625.594508589253,141.88206103491947,68.246.147.16,desktop,US,1.0,0.0
user_0153,2575.0219451233975,291.98169919693817,154.48.144.190,desktop,JP,0.0,0.0
user_0154,3149.402484962509,,48.141.47.112,mobile,FR,2.0,0.0
user_0155,2148.241999571245,69.1591599006047,174.206.10.82,mobile,UK,1.0,0.0
user_0156,826.0294438785262,360.00905871198967,244.45.251.47,desktop,UK,2.0,
user_0157,4963.557967654484,51.391716816557285,203.39.31.176,tablet,BR,3.0,1.0
user_0158,7185.958119434878,3597.56187030258,23.71.110.101,mobile,AU,4.0,
user_0159,2337.477971639988,377.59240781200634,213.231.153.210,desktop,FR,1.0,0.0
user_0160,3390.1956743153833,320.7859390491104,113.128.141.109,desktop,UK,0.0,0.0
user_0161,2550.2574406052795,36.20225539957632,23.29.24.140,desktop,US,0.0,0.0
user_0162,1980.2378340697562,97.46981972347693,211.117.37.15,desktop,UK,0.0,0.0
user_0163,1400.3171731325033,412.0122436257852,215.152.175.35,desktop,UK,1.0,0.0
user_0164,3231.078775315456,144.87049395411807,236.58.89.15,desktop,DE,0.0,0.0
user_0165,2242.8423401438295,64.04768902231652,192.90.46.35,desktop,US,1.0,0.0
user_0166,6555.405804633907,4314.663960620799,154.63.162.252,tablet,DE,4.0,1.0
user_0167,1753.5535688017928,186.10917602751982,248.36.142.2,desktop,CA,1.0,0.0
,1206.328827805981,177.31567230023163,226.219.81.205,desktop,DE,0.0,0.0
user_0169,1721.8805803134014,,101.40.166.15,desktop,US,1.0,0.0
user_0170,3948.199877804814,2032.4869770796736,35.177.159.111,tablet,US,,1.0
user_0171,2622.055441904535,390.21339865879986,17.18.26.80,mobile,US,1.0,0.0
user_0172,843.8489143706136,168.21219698476153,43.102.126.20,mobile,US,2.0,0.0
user_0173,2876.0256540479845,272.5548303998636,131.174.176.127,desktop,UK,1.0,0.0
user_0174,,233.8882326501186,81.245.221.140,mobile,US,0.0,0.0
user_0175,971.8639638019041,312.507970117886,116.136.82.132,desktop,RU,0.0,0.0
user_0176,2538.577332009012,99.2301904797632,158.169.160.124,desktop,UK,,0.0
user_0177,12.023107580949747,3825.8509855186985,159.46.147.230,desktop,JP,7.0,1.0
user_0178,6161.733928323804,3334.330668105513,44.183.28.136,desktop,IN,6.0,1.0
user_0179,350.8335153021115,434.4112245445761,242.80.196.61,desktop,DE,0.0,0.0
user_0180,1292.660777893262,,,desktop,UK,1.0,0.0
user_0181,845.6430435795719,359.83719270331886,240.235.222.73,mobile,FR,1.0,0.0
user_0182,134.8049620424573,386.118649929261,84.140.55.116,desktop,BR,2.0,0.0
user_0183,3020.6622033439508,247.08437819812713,47.191.41.174,mobile,US,2.0,0.0
user_0184,2734.5510112812044,151.15570679236845,78.113.87.189,tablet,RU,0.0,0.0
user_0185,1913.465488922782,42.29885972274093,157.184.82.30,desktop,AU,2.0,0.0
user_0186,5.922220356572309,3774.236255625582,,mobile,RU,8.0,1.0
user_0187,6435.287926840878,4.729042440889664,255.187.184.230,mobile,RU,5.0,1.0
user_0188,2782.5915080186937,403.5409526259821,,mobile,FR,1.0,0.0
user_0189,2163.4104793886695,114.16879426379401,153.220.244.153,mobile,US,1.0,0.0
user_0190,2873.9757082887395,101.80818197440786,140.147.249.133,desktop,US,2.0,0.0
user_0191,974.4574673073604,,197.133.175.13,desktop,BR,1.0,
user_0192,1420.516305043072,246.39466802506365,63.64.8.115,,AU,2.0,0.0
user_0193,5008.096146033091,2121.7769260664295,203.147.22.27,desktop,JP,7.0,1.0
user_0194,2654.9236572322516,254.3496970510117,252.60.23.159,desktop,CA,2.0,0.0
user_0195,4481.969498384898,50.46375866339431,227.0.188.241,desktop,RU,6.0,1.0
user_0196,494.06574760673436,177.6062117879264,,mobile,DE,2.0,0.0
user_0197,738.3458579322576,49.43072907434641,159.152.204.185,desktop,UK,0.0,0.0
user_0198,2894.4947748364543,87.23919954639189,77.156.70.148,desktop,,2.0,0.0
user_0199,179.93437553041866,135.18563480427585,230.162.134.63,mobile,BR,2.0,0.0
user_0200,407.90391574592576,465.8894459335061,253.41.123.32,desktop,UK,2.0,0.0
user_0201,3036.168487448009,261.19087450494715,4.210.155.102,desktop,CA,1.0,0.0
user_0202,850.7293096548619,108.1561805673423,7.253.79.121,tablet,US,2.0,0.0
user_0203,2669.2276553505985,404.0624464516286,222.221.171.213,desktop,CA,2.0,0.0
user_0204,1651.9393777712514,403.55768567820843,28.20.114.185,desktop,CA,0.0,0.0
user_0205,2961.36938207896,236.54258563178004,131.36.94.188,mobile,US,2.0,0.0
user_0206,622.4290712335894,,10.248.44.129,tablet,,1.0,0.0
user_0207,2519.088488821941,330.69337363286604,75.13.134.104,mobile,UK,2.0,0.0
user_0208,,329.45589022144287,143.234.186.208,mobile,UK,2.0,0.0
user_0209,2048.0766395380974,19.715041518133546,254.224.13.220,mobile,,1.0,0.0
user_0210,3466.254840171148,148.31880175017633,119.3.52.35,desktop,US,1.0,0.0
user_0211,1145.9344702916337,46.50468723991525,84.250.71.190,desktop,CA,0.0,0.0
user_0212,5504.187807506971,1278.5436810054791,86.150.50.71,mobile,UK,4.0,1.0
user_0213,2487.7073102169898,355.11303961940905,178.188.19.32,desktop,US,1.0,0.0
user_0214,1435.452917260202,80.18263333001696,59.132.33.16,tablet,US,1.0,0.0
user_0215,2630.265713529761,326.82479903758355,149.238.155.194,desktop,UK,2.0,0.0
user_0216,972.7310954865465,29.296719701991886,186.243.53.68,mobile,IN,0.0,0.0
user_0217,1.7309823110517248,96.58182220842068,207.156.70.238,desktop,IN,4.0,1.0
user_0218,3338.6150625952305,451.81527312834913,61.168.105.217,desktop,BR,0.0,0.0
user_0219,10.996194650259572,1426.6005205524173,16.27.198.223,,UK,4.0,1.0
user_0220,534.5953317999943,499.0931698367909,73.172.22.204,desktop,FR,1.0,0.0
user_0221,10.91198555483725,71.72355000459079,84.204.231.237,desktop,,4.0,1.0
user_0222,3368.937303528376,194.9346201073678,52.220.165.123,mobile,US,0.0,0.0
user_0223,2158.8500304001645,292.4851106003026,235.157.154.32,,FR,,0.0
user_0224,3535.2468949296444,227.19886952762394,5.18.226.230,mobile,CA,1.0,0.0
user_0225,13.635741622869897,2494.746037812354,94.216.248.30,desktop,CA,5.0,1.0
user_0226,1384.2684177162073,339.9565668330123,175.50.65.131,mobile,IN,2.0,0.0
user_0227,,279.8464242354342,156.10.65.159,,US,1.0,0.0
user_0228,2783.4261983354118,299.10295248503445,193.191.56.77,desktop,US,2.0,0.0
user_0229,3022.0215253553597,117.50177021512046,196.155.2.141,desktop,US,2.0,
user_0230,1398.2043988986838,478.09137955819256,10.230.248.251,mobile,FR,0.0,0.0
user_0231,1559.355467827038,327.7931630682298,109.153.191.219,mobile,UK,1.0,0.0
user_0232,990.8973631086117,56.18150954461309,75.59.143.40,desktop,,2.0,0.0
user_0233,20.165116179550356,60.3173020455383,89.24.233.179,mobile,US,5.0,1.0
user_0234,,209.82866745681977,71.184.216.136,desktop,IN,1.0,0.0
user_0235,5204.052158014021,,181.242.137.219,desktop,AU,4.0,1.0
user_0236,16.144605881206257,4.968475378891424,98.63.88.214,tablet,BR,5.0,
user_0237,1624.0037310995597,16.840979675971774,169.0.102.9,desktop,UK,2.0,0.0
user_0238,26.662706023749767,40.200186920677716,108.152.22.211,mobile,DE,,1.0
user_0239,2939.366849311043,287.7166554312505,1.170.181.16,desktop,BR,0.0,0.0
user_0240,922.7790832749903,129.5530343490874,32.233.99.138,desktop,DE,1.0,0.0
user_0241,16.41793086842947,1945.1825956276489,69.2.146.21,mobile,FR,4.0,1.0
user_0242,2804.71679943827,361.26611017345795,215.40.165.61,tablet,US,0.0,0.0
,6154.227830833053,1934.465341556077,,tablet,FR,7.0,1.0
,2228.870200705906,492.7035465112885,,mobile,US,2.0,
user_0245,,416.4090250093284,143.229.36.44,desktop,BR,0.0,0.0
user_0246,2559.0341151128223,,192.193.11.20,mobile,BR,0.0,0.0
user_0247,2523.3956424572134,469.1682342944619,222.50.142.8,desktop,UK,0.0,0.0
user_0248,1546.6852657014206,150.96783628440963,168.88.225.105,desktop,DE,2.0,0.0
user_0249,898.9481024387935,412.69075966918433,59.143.50.230,desktop,CA,2.0,0.0
user_0250,3210.6136637263708,,113.32.109.14,desktop,CA,2.0,0.0
user_0251,1466.5767512942282,471.2912482688781,108.69.124.196,mobile,CA,,0.0
user_0252,714.5535764984168,13.668651166741618,224.195.29.84,desktop,,2.0,0.0
user_0253,86.26787828424715,178.32455597744786,182.0.47.189,desktop,US,0.0,0.0
user_0254,988.8611694065004,243.0618574189628,195.210.72.19,mobile,UK,2.0,
user_0255,19.108179930174398,2742.200963216639,140.207.224.47,tablet,,9.0,1.0
user_0256,2089.865043646435,203.29965904071346,239.229.183.142,desktop,AU,0.0,0.0
user_0257,3293.057112474518,46.97502696079754,217.3.122.57,tablet,US,1.0,0.0
user_0258,,38.98967113105496,249.212.48.198,tablet,UK,0.0,0.0
user_0259,1685.791053655295,114.39913188281879,254.40.78.97,desktop,UK,1.0,0.0
user_0260,2275.509857553029,353.5328526694834,58.138.148.175,mobile,US,2.0,0.0
user_0261,2274.786620876586,272.40972435307845,167.95.206.12,desktop,CA,2.0,0.0
user_0262,1913.278645479565,,159.11.154.103,mobile,,0.0,
user_0263,168.05492989034184,72.15868651187724,53.252.14.88,desktop,BR,0.0,0.0
user_0264,895.6199271213458,135.83697855860242,239.29.74.49,desktop,BR,0.0,0.0
user_0265,16.980317415775055,1955.1186420561862,110.104.175.149,tablet,US,8.0,1.0
user_0266,,139.84447277747267,29.246.200.166,mobile,JP,2.0,0.0
user_0267,,296.3951839459803,81.41.104.15,,CA,0.0,0.0
user_0268,989.7079007029758,350.48999297758536,10.236.206.142,tablet,CA,2.0,0.0
user_0269,947.2283961324281,58.31119135245779,50.108.166.69,tablet,DE,0.0,0.0
user_0270,661.614197933862,384.69584601839955,92.85.199.108,mobile,AU,1.0,0.0
user_0271,1857.8397813175193,89.30862843444221,29.191.133.4,mobile,FR,1.0,0.0
user_0272,,176.88817644362948,236.50.235.63,desktop,US,0.0,0.0
user_0273,6453.95015143747,4629.504647792283,206.102.213.40,mobile,JP,8.0,1.0
user_0274,3458.5601869542284,,30.214.90.187,mobile,FR,0.0,0.0
user_0275,,427.65551125563337,159.155.106.233,mobile,FR,2.0,0.0
user_0276,582.4548461033274,342.71361493118985,140.156.252.82,mobile,US,2.0,0.0
user_0277,2756.2830887491464,112.71206595125005,90.182.229.183,mobile,IN,0.0,
user_0278,3069.225820439349,276.29705139174064,197.17.115.228,desktop,UK,0.0,0.0
,1310.9464850749607,19.00012081154334,13.21.112.200,tablet,BR,0.0,0.0
user_0280,4887.8230804324485,4140.374470822688,107.167.211.216,desktop,IN,3.0,1.0
user_0281,4686.250586386734,,64.161.172.139,tablet,JP,5.0,1.0
user_0282,558.6984410652967,44.47807437402032,155.206.62.78,desktop,CA,0.0,0.0
user_0283,,140.02581815857747,255.80.170.109,mobile,US,2.0,0.0
user_0284,2740.61290813481,68.68965916553134,92.93.55.169,mobile,UK,,0.0
user_0285,5316.458348276915,1301.7814830108946,185.229.80.166,desktop,UK,5.0,1.0
user_0286,1649.1958199589628,74.62061279546401,115.49.109.150,desktop,US,2.0,0.0
user_0287,2317.3201595706296,162.02016017436927,16.176.116.29,desktop,US,2.0,0.0
user_0288,3001.8616562323978,394.08315586016,165.66.150.26,mobile,UK,0.0,0.0
user_0289,2835.046312940294,251.44267404695418,67.30.230.188,mobile,US,0.0,0.0
user_0290,4181.386449119914,3742.3003754891397,119.48.222.55,mobile,DE,9.0,1.0
user_0291,2901.998150017622,463.856128584902,188.228.174.226,desktop,DE,2.0,0.0
user_0292,2345.220412723692,179.8695480946982,235.139.101.204,mobile,US,1.0,0.0
user_0293,15.152966483437261,91.24664207019299,205.51.39.204,mobile,US,7.0,1.0
user_0294,1186.8156351280195,74.3184081345221,20.206.200.108,desktop,UK,0.0,0.0
user_0295,1520.5630547267028,310.0597537749453,13.151.104.59,desktop,US,0.0,0.0
user_0296,2417.0538931672936,367.8602060783397,,desktop,CA,0.0,0.0
user_0297,3431.3234586123085,,160.219.148.7,mobile,UK,2.0,0.0
user_0298,861.8559023706903,253.98137188049103,226.231.140.61,mobile,CA,1.0,0.0
,3135.2260755474276,188.67088106045347,79.184.34.172,mobile,US,0.0,0.0
user_0300,,39.61020978759264,210.6.144.224,tablet,BR,1.0,0.0
user_0301,3385.1788273956254,45.8648609012939,144.22.195.234,mobile,UK,2.0,0.0
user_0302,3465.269720535073,148.61448131764527,,mobile,BR,1.0,0.0
user_0303,1948.9561080222695,,129.243.221.44,desktop,BR,2.0,0.0
user_0304,956.9426555055217,57.4171312237693,83.200.248.132,desktop,US,2.0,0.0
user_0305,2026.485280310644,36.21549994294503,170.84.90.27,mobile,US,2.0,0.0
user_0306,155.15139439712885,328.87737810294374,251.232.40.212,desktop,DE,1.0,0.0
user_0307,405.2226860047567,440.4704370964024,236.187.88.28,desktop,BR,0.0,0.0
user_0308,1442.8456837716994,243.6240072508894,128.114.6.101,mobile,,1.0,0.0
user_0309,22.4886916230997,3798.080585651175,31.152.124.150,mobile,FR,5.0,1.0
user_0310,2777.716760613693,195.1316514670933,223.117.46.225,desktop,UK,1.0,0.0
user_0311,823.8056719404146,,222.183.68.142,desktop,US,1.0,0.0
user_0312,3000.8677146292293,34.65708301963622,119.49.224.208,tablet,UK,,0.0
user_0313,203.61695278976237,298.1831986315568,210.15.250.160,desktop,AU,,0.0
user_0314,3513.897871134119,466.95185646432964,54.180.172.48,mobile,DE,2.0,0.0
user_0315,3227.71998424459,487.7100630449195,131.26.73.156,desktop,US,1.0,
user_0316,1573.4500405699575,266.0180860062384,67.162.191.185,tablet,US,2.0,0.0
user_0317,590.6528696534152,262.22332069823403,42.199.65.93,desktop,DE,2.0,0.0
user_0318,1069.6249257644363,333.3810043952113,14.103.33.56,desktop,UK,0.0,
user_0319,284.8913359446692,425.9321382448332,47.78.139.137,desktop,US,0.0,0.0
user_0320,,,248.25.65.37,desktop,UK,8.0,1.0
user_0321,995.1658791369233,260.0299128537416,57.95.211.70,tablet,AU,2.0,0.0
user_0322,6918.500126811221,4.0192951808939,81.53.204.183,tablet,IN,4.0,1.0
user_0323,2480.8145380372466,299.9581667931659,165.210.89.89,desktop,US,2.0,0.0
user_0324,2263.1603066698585,248.34317036937347,252.236.225.115,desktop,US,0.0,0.0
user_0325,6352.436733774752,4583.406769941521,75.118.254.18,tablet,DE,9.0,1.0
user_0326,1110.7006460945943,456.39561429957575,40.235.53.221,desktop,JP,0.0,
user_0327,71.78644166583919,244.67748728168806,156.117.254.152,mobile,UK,0.0,0.0
user_0328,427.399039436784,318.06302389751795,76.39.1.87,desktop,US,,0.0
user_0329,930.8956809221268,19.308757717611584,193.210.244.188,mobile,FR,0.0,0.0
